date,competition,winner,winner_abbreviation,winner_gender,winner_qualifier,winner_id,winner_control,winner_knockdowns,winner_significant_strike_percentage,winner_significant_strikes,winner_significant_strikes_attempted,winner_submission_attempts,winner_takedown_percentage,winner_takedowns,winner_takedowns_attempted,winner_total_strike_percentage,winner_total_strikes,winner_total_strikes_attempted,loser,loser_abbreviation,loser_gender,loser_qualifier,loser_id,loser_control,loser_knockdowns,loser_significant_strike_percentage,loser_significant_strikes,loser_significant_strikes_attempted,loser_submission_attempts,loser_takedown_percentage,loser_takedowns,loser_takedowns_attempted,loser_total_strike_percentage,loser_total_strikes,loser_total_strikes_attempted,final_round,final_round_length,method,scheduled_length,weight_class,strike_accuracy_diff ,total_strike_accuracy_diff  ,knockdowns_diff,takedown_accuracy_diff,takedowns_diff,submission_attempts_diff
2019-03-09,UFC Fight Night - Wichita,"Morono, Alex",MOR,male,home,sr:competitor:290252,0:00,0,45.45,25,55,1,0.0,0,0,45.45,25,55,"Ottow, Zak",OTT,male,away,sr:competitor:288697,0:00,0,32.26,10,31,0,100.0,1,1,32.26,10,31,1,3:34,ko_tko,3,welterweight(156-170),13.190000000000005,13.190000000000005,0,-100.0,-1,1
2019-03-09,UFC Fight Night - Wichita,"Schnell, Matt",SCH,male,away,sr:competitor:303100,0:00,0,35.0,14,40,2,100.0,1,1,38.1,16,42,"Smolka, Louis",SMO,male,home,sr:competitor:269769,0:00,0,54.17,13,24,0,0.0,0,0,56.0,14,25,1,3:18,submission,3,bantamweight(126-135),-19.17,-17.9,0,100.0,1,2
2019-03-09,UFC Fight Night - Wichita,"Greene, Maurice",GRE,male,home,sr:competitor:524276,0:00,0,43.48,70,161,0,0.0,0,0,44.17,72,163,"Hughes, Jeff",HUG,male,away,sr:competitor:463615,0:00,0,46.15,66,143,0,0.0,0,1,46.53,67,144,3,5:00,decision_split,3,heavyweight(206-265),-2.6700000000000017,-2.3599999999999994,0,0.0,0,0
2019-03-09,UFC Fight Night - Wichita,"Dawson, Grant",DAW,male,home,sr:competitor:511478,0:00,0,44.53,57,128,1,54.55,6,11,51.81,86,166,"Erosa, Julian",ERO,male,away,sr:competitor:246021,0:00,0,57.65,49,85,1,0.0,0,0,64.22,70,109,3,5:00,decision_unanimous,3,featherweight(136-145),-13.119999999999997,-12.409999999999997,0,54.55,6,0
2019-02-23,UFC Fight Night - Prague,"Ismagulov, Damir",ISM,male,home,sr:competitor:524398,0:00,0,43.05,65,151,0,0.0,0,0,43.05,65,151,"Alvarez, Joel",ALV,male,away,sr:competitor:543493,0:00,0,30.14,44,146,0,0.0,0,0,30.14,44,146,3,5:00,decision_unanimous,3,welterweight(156-170),12.909999999999997,12.909999999999997,0,0.0,0,0
2019-02-23,UFC Fight Night - Prague,"Ferreira, Diego",FER,male,away,sr:competitor:413417,0:00,0,34.19,107,313,1,0.0,0,0,34.49,109,316,"Khabilov, Rustam",KHA,male,home,sr:competitor:245467,0:00,0,27.82,37,133,0,25.0,3,12,27.82,37,133,3,5:00,decision_unanimous,3,lightweight(146-155),6.369999999999997,6.670000000000002,0,-25.0,-3,1
2019-02-23,UFC Fight Night - Prague,"Naurdiev, Ismail",NAU,male,away,sr:competitor:543827,0:00,0,66.43,95,143,1,0.0,0,0,69.94,121,173,"Prazeres, Michel",PRA,male,home,sr:competitor:273533,0:00,0,43.75,14,32,0,14.29,2,14,52.63,20,38,3,5:00,decision_unanimous,3,welterweight(156-170),22.680000000000007,17.309999999999995,0,-14.29,-2,1
2019-02-23,UFC Fight Night - Prague,"Hadzovic, Damir",HAD,male,home,sr:competitor:542067,0:00,0,60.18,68,113,0,100.0,2,2,61.86,73,118,"Reyes, Polo",REY,male,away,sr:competitor:261829,0:00,0,20.79,21,101,0,0.0,0,0,22.33,23,103,2,2:03,ko_tko,3,lightweight(146-155),39.39,39.53,0,100.0,2,0
2019-02-23,UFC Fight Night - Prague,"Robertson, Gillian",ROB,female,away,sr:competitor:441630,0:00,0,33.33,3,9,1,40.0,2,5,46.15,6,13,"Hardy, Veronica",HAR,female,home,sr:competitor:283225,0:00,0,62.75,32,51,0,100.0,2,2,66.1,39,59,2,3:27,submission,3,flyweight(116-125),-29.42,-19.949999999999996,0,-60.0,0,1
2019-02-23,UFC Fight Night - Prague,"Fishgold, Chris",FIS,male,away,sr:competitor:509948,0:00,0,57.14,20,35,1,50.0,3,6,57.14,20,35,"Teymur, Daniel",TEY,male,home,sr:competitor:355568,0:00,0,44.0,11,25,0,0.0,0,0,60.0,24,40,2,1:10,submission,3,featherweight(136-145),13.14,-2.8599999999999994,0,50.0,3,1
2019-02-23,UFC Fight Night - Prague,"Grant, Dwight",GRA,male,away,sr:competitor:449139,0:00,0,37.78,17,45,0,20.0,1,5,37.78,17,45,"Pedersoli Jr, Carlo",PED,male,home,sr:competitor:443716,0:00,1,37.74,20,53,0,0.0,0,0,40.0,22,55,1,4:59,ko_tko,3,welterweight(156-170),0.03999999999999915,-2.219999999999999,-1,20.0,1,0
2019-02-23,UFC Fight Night - Prague,"Ankalaev, Magomed",ANK,male,home,sr:competitor:419867,0:00,0,62.77,59,94,0,25.0,1,4,70.68,94,133,"Abreu, Klidson",ABR,male,away,sr:competitor:546933,0:00,0,31.94,23,72,0,0.0,0,6,40.24,33,82,3,5:00,decision_unanimous,3,light_heavyweight(186-205),30.830000000000002,30.440000000000005,0,25.0,1,0
2019-02-23,UFC Fight Night - Prague,"Yan, Petr",YAN,male,away,sr:competitor:542169,0:00,0,45.56,41,90,0,33.33,1,3,48.96,47,96,"Dodson, John",DOD,male,home,sr:competitor:542217,0:00,1,52.7,39,74,0,14.29,1,7,52.7,39,74,3,5:00,decision_unanimous,3,bantamweight(126-135),-7.140000000000001,-3.740000000000002,-1,19.04,0,0
2019-02-23,UFC Fight Night - Prague,"Carmouche, Liz",CAR,female,home,sr:competitor:399181,0:00,0,46.81,22,47,1,75.0,3,4,67.11,51,76,"Pudilova, Lucie",PUD,female,away,sr:competitor:344000,0:00,0,27.52,30,109,2,0.0,0,1,30.83,37,120,3,5:00,decision_unanimous,3,flyweight(116-125),19.290000000000003,36.28,0,75.0,3,-1
2019-02-23,UFC Fight Night - Prague,"Oleksiejczuk, Michal",OLE,male,away,sr:competitor:390292,0:00,1,63.64,14,22,0,0.0,0,0,63.64,14,22,"Villante, Gian",VIL,male,home,sr:competitor:246045,0:00,0,45.0,9,20,0,0.0,0,0,45.0,9,20,1,1:34,ko_tko,3,light_heavyweight(186-205),18.64,18.64,1,0.0,0,0
2019-02-23,UFC Fight Night - Prague,"Struve, Stefan",STR,male,home,sr:competitor:256137,0:00,0,0.0,0,3,1,100.0,1,1,28.57,2,7,"de Lima, Marcos Rogerio",DE,male,away,sr:competitor:254233,0:00,1,78.13,25,32,0,0.0,0,0,86.08,68,79,2,2:21,submission,3,heavyweight(206-265),-78.13,-57.51,-1,100.0,1,1
2019-02-23,UFC Fight Night - Prague,"Santos, Thiago",SAN,male,away,sr:competitor:237712,0:00,1,50.0,52,104,0,100.0,1,1,50.0,52,104,"Blachowicz, Jan",BLA,male,home,sr:competitor:250143,0:00,0,37.74,20,53,0,0.0,0,1,37.74,20,53,3,0:39,ko_tko,5,light_heavyweight(186-205),12.259999999999998,12.259999999999998,1,100.0,1,0
2019-03-30,UFC Fight Night - Philadelphia,"Perez, Alex",PER,male,home,sr:competitor:399179,0:00,0,47.78,86,180,0,50.0,2,4,57.08,133,233,"de la Rosa, Mark",DE,male,away,sr:competitor:401833,0:00,0,30.0,21,70,0,0.0,0,0,55.7,83,149,3,5:00,decision_unanimous,3,bantamweight(126-135),17.78,1.3799999999999955,0,50.0,2,0
2019-03-30,UFC Fight Night - Philadelphia,"Moroz, Maryna",MOR,female,away,sr:competitor:250139,0:00,0,37.08,66,178,0,11.11,1,9,40.72,79,194,"Mazo Isaza, Sabina",MAZ,female,home,sr:competitor:539715,0:00,0,32.83,65,198,0,0.0,0,0,35.71,75,210,3,5:00,decision_unanimous,3,flyweight(116-125),4.25,5.009999999999998,0,11.11,1,0
2019-03-30,UFC Fight Night - Philadelphia,"Kenney, Casey",KEN,male,away,sr:competitor:510956,0:00,0,61.54,32,52,0,66.67,2,3,67.65,46,68,"Borg, Ray",BOR,male,home,sr:competitor:278271,0:00,0,48.57,17,35,0,70.0,7,10,55.0,22,40,3,5:00,decision_unanimous,3,bantamweight(126-135),12.969999999999999,12.650000000000006,0,-3.3299999999999983,-5,0
2019-03-30,UFC Fight Night - Philadelphia,"Holland, Kevin",HOL,male,home,sr:competitor:542073,0:00,0,62.79,27,43,2,50.0,1,2,77.55,76,98,"Meerschaert, Gerald",MEE,male,away,sr:competitor:304978,0:00,0,76.92,10,13,4,54.55,6,11,78.57,44,56,3,5:00,decision_split,3,middleweight(171-185),-14.130000000000003,-1.019999999999996,0,-4.549999999999997,-5,-2
2019-03-30,UFC Fight Night - Philadelphia,"Aguilar, Kevin",AGU,male,away,sr:competitor:459429,0:00,0,37.45,88,235,0,0.0,0,0,37.45,88,235,"Barzola, Enrique",BAR,male,home,sr:competitor:281361,0:00,0,34.48,50,145,0,0.0,0,7,34.48,50,145,3,5:00,decision_unanimous,3,featherweight(136-145),2.970000000000006,2.970000000000006,0,0.0,0,0
2019-03-30,UFC Fight Night - Philadelphia,"Green, Desmond",GRE,male,away,sr:competitor:542063,0:00,1,52.94,18,34,0,50.0,1,2,52.94,18,34,"Pearson, Ross",PEA,male,home,sr:competitor:248621,0:00,0,44.0,11,25,0,0.0,0,1,44.0,11,25,1,2:52,ko_tko,3,lightweight(146-155),8.939999999999998,8.939999999999998,1,50.0,1,0
2019-03-30,UFC Fight Night - Philadelphia,"Rodriguez, Marina",ROD,female,away,sr:competitor:501750,0:00,1,58.42,118,202,0,0.0,0,1,60.56,129,213,"Aguilar, Jessica",AGU,female,home,sr:competitor:333645,0:00,0,43.86,50,114,1,0.0,0,1,49.61,63,127,3,5:00,decision_unanimous,3,strawweight(106-115),14.560000000000002,10.950000000000003,1,0.0,0,-1
2019-03-30,UFC Fight Night - Philadelphia,"Yusuff, Sodiq",YUS,male,home,sr:competitor:463613,0:00,1,49.32,73,148,0,0.0,0,3,55.93,99,177,"Da Silva Moraes, Sheymon",DA,male,away,sr:competitor:394984,0:00,0,45.76,54,118,0,0.0,0,0,47.54,58,122,3,5:00,decision_unanimous,3,featherweight(136-145),3.5600000000000023,8.39,1,0.0,0,0
